Category,Key,English,Japanese,Notes
,t43,When an arrow [to the right] kills an enemy,矢[右向き]で敵を倒した時,
,t44,When an arrow [below] kills an enemy,矢[下向き]で敵を倒した時,
,t45,When an arrow [to the left] kills an enemy,矢[左向き]で敵を倒した時,
,t46,When an arrow [above] kills an enemy,矢[上向き]で敵を倒した時,
,t47,If there is a space above this,これの上にスペースがある場合,
,t48,For each adjacent or diagonal key,隣か斜めにある鍵ごと,
,t49,If there is a space above this,これの上にスペースがある場合,
,t50,For each space above this,これの上側のマスごと,
,t51,For each space to the right,これの右側のマスごと,
,t52,For each space to the left,これの左側のマスごと,
,t53,For each adjacent item,隣り合うマスごと,
,t53s,If there is an adjacent item,隣り合うマスがある場合,
,t54,For each adjacent empty space,隣り合う空のマスごと,
,t55,For each adjacent item,隣り合うマスごと,
,t56,When a weapon is used,武器が使用された時,
,t57,For each adjacent or diagonal consumable,隣か斜めにある消耗品ごと,
,t58,Each turn for each adjacent gem,毎ターン、隣り合うジェムごと,
,t59,When a weapon kills an enemy,武器で敵を倒した時,
,t60,When an adjacent weapon is used,隣り合う武器が使用された時,
,t61,When an adjacent or diagonal item is present,隣か斜めにアイテムが存在する時,
,t62,For each adjacent accessory,隣り合うアクセサリーごと,
,t63,For each adjacent gem,隣り合うジェムごと,
,t64,If adjacent to any item,アイテムが隣にある場合,
,t65,If adjacent or diagonal to any item,アイテムが隣か斜めにある場合,
,t66,If adjacent or diagonal to armor or a shield,鎧か盾が隣か斜めにある場合,
,t67,When a diagonal shield is used,斜めにある盾が使用された時,
,t68,For each adjacent or diagonal ring,隣か斜めにあるリングごと,
,t69,For each adjacent or diagonal curse,隣か斜めにある呪文ごと,
,t70,If you have any armor,鎧を持っている時,
,t71,When an adjacent or diagonal manastone is destroyed,隣か斜めにあるマナストーンが壊れた時,
,t72v,For each consumable in this row,この横列にある消耗品ごと,
,t73,When a shield is used,For each manastone in this row, WARNING: ENGLISH TEXT CHANGED #####################################################
,tc1,On play,プレイ中,
,tc2,When any carving is summoned,彫刻が召喚された時, WARNING: ENGLISH TEXT CHANGED #####################################################
,t73,For each manastone in this row,For each manastone in this row, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,t74,For each adjacent consumable,隣り合う消耗品ごと,
,t75,For each adjacent fish,隣り合う魚ごと,
,t76,For each empty space to the right,右側にある空のマスごと,
,t77,For each empty space in this column,この縦列にある空のマスごと,
,t78,For each manastone above this,この上にあるマナストーンごと,
,t79,For each carving in your discard,捨てた彫刻ごと,
,t80,When a carving is used,彫刻が使用された時,
,t81a,For each item along a diagonal line,斜め列にあるアイテムごと,
,t81,If there is an item along a diagonal line,斜め列にアイテムがある場合,
,t82,When an adjacent carving is used,隣り合う彫刻が使用された時,
,t83,When an adjacent shield is used,隣り合う盾が使用された時,
,t84,For each space a charge has traveled before using this item,このアイテムを使う前に電荷が通ったマスごと,
,t85,When an adjacent item kills a non-summon enemy,隣り合うアイテムで非召喚の敵を倒した時, WARNING: AUTO-TRANSLATION #####################################################
,t86,For each adjacent carving,隣り合う彫刻ごと, WARNING: AUTO-TRANSLATION #####################################################
,t87,When a carving is summoned,彫刻が召喚された時, WARNING: AUTO-TRANSLATION #####################################################
,t88,When an adjacent consumable is used,隣り合う消耗品が使用された時, WARNING: AUTO-TRANSLATION #####################################################
,t89,On death,死んでしまった時, WARNING: AUTO-TRANSLATION #####################################################
,t90,When an item is used,アイテムが使用された時, WARNING: AUTO-TRANSLATION #####################################################
,t91,When a shield is used,盾が使用された時, WARNING: AUTO-TRANSLATION #####################################################
,,,,
effects,e1,Deals /x damage,/xダメージ与える,
,e2,Hurts! Deals /x damage to self,痛い！自分に/xダメージ,
,e3,Deals /x damage to all enemies,全敵に/xダメージ与える,
,e4,Deals /x vampirism ,/xの吸血ダメージを与える, WARNING: ENGLISH TEXT CHANGED #####################################################
,e5,Deals /x vampirism to all enemies,全敵に/xの吸血ダメージを与える,
,e6,Removes /x% of all block on self,自分の全防御を/x%減少,
,e7,Multiplies current block by /x%,現状の防御から/x%分追加,
,e8,Adds /x block,防御を/x追加,
,e9,Adds /x block to enemy,敵の防御を/x追加,
,e10,Adds /x block to all enemies,全敵の防御を/x追加,
,e11,Removes /x block,防御を/x解除,
,e12,Removes /x block from enemy,敵の防御を/x解除,
,e13,Removes /x block from all enemies,全敵の防御を/x解除,
,e14,Heals /x HP,体力を/x回復,
,e15,Enemy heals /x HP,敵の体力が/x回復,
,e16,All enemies heal /x HP,全敵の体力が/x回復,
,e17,Lose /x HP,体力を/x失う,
,e18,Enemy loses /x HP,敵が体力を/x失う,
,e19,All enemies lose /x HP,全敵が体力を/x失う,
,e20,Adds /x energy,エネルギーが/x増加,
,e20d,Removes /x energy,エネルギーが/x減少,
,e21,Adds /x Max HP,最大体力を/x追加,
,e21b,Removes /x Max HP,最大体力が/x減少,
,e22,Adds /x Mana to connected Mana network,接続されたマナ網に/xマナを追加,
,e22b,Removes /x Mana from connected Mana network,接続されたマナ網から/xマナ減少, WARNING: AUTO-TRANSLATION #####################################################
,e23,Adds Luck,幸運を付与,
,e24,Adds Great Luck,超幸運を付与,
,e25,Multiplies all status effects on self by /x%,自分の全状態効果を/x%増加,
,e26,Multiplies all status effects on enemy by /x%,敵の全状態効果を/x%増加,
,e27,Multiplies all status effects on all enemies by /x%,全敵の全状態効果を/x%増加,
,e28,Removes /x% of all status effects on self,自分の全状態効果を/x%解除,
,e29,Removes /x% of all status effects on enemy,敵の全状態効果を/x%解除,
,e29b,Removes /x from all status effects on enemy,敵の全状態効果を/x解除,
,e29c,Removes /x from all status effects on all enemies,全敵の全状態効果を/x解除,
,e29e,Removes /x from all status effects on everyone,全員の全ての状態効果が/x減少, WARNING: AUTO-TRANSLATION #####################################################
,e30,Removes /x% of all status effects on all enemies,全敵の全状態効果を/x%解除,
,e31,Adds /x poison to self,自分に/xの毒効果,
,e32,Adds /x regen to self,自分に/xの回復効果,
,e33,Adds /x spikes to self,自分に/xのトゲ効果,
,e34,Adds /x haste to self,自分に/xの加速効果,
,e35,Adds /x slow to self,自分に/xの減速効果,
,e36,Adds /x rage to self,自分に/xの凶暴効果,
,e37,Adds /x weak to self,自分に/xの弱体化効果,
,e38,Adds /x dodge to self,自分に/xの回避効果,
,e39,Adds /x poison to enemy,敵に/xの毒効果,
,e40,Adds /x regen to enemy,敵に/xの回復効果,
,e41,Adds /x spikes to enemy,敵に/xのトゲ効果,
,e42,Adds /x haste to enemy,敵に/xの加速効果,
,e43,Adds /x slow to enemy,敵に/xの減速効果,
,e44,Adds /x rage to enemy,敵に/xの凶暴効果,
,e45,Adds /x weak to enemy,敵に/xの弱体化効果,
,e46,Adds /x dodge to enemy,敵に/xの回避効果,
,e46b,Adds /x burn to enemy,敵に/xの燃焼効果,
,e47,Adds /x poison to all enemies,全敵に/xの毒効果,
,e48,Adds /x regen to all enemies,全敵に/xの回復効果,
,e49,Adds /x spikes to all enemies,全敵に/xのトゲ効果,
,e50,Adds /x haste to all enemies,全敵に/xの加速効果,
,e51,Adds /x slow to all enemies,全敵に/xの減速効果,
,e52,Adds /x rage to all enemies,全敵に/xの凶暴効果,
,e53,Adds /x weak to all enemies,全敵に/xの弱体化効果,
,e54,Adds /x dodge to all enemies,全敵に/xの回避効果,
,e54b,Adds /x burn to all enemies,全敵に/xの毒効果,
,e55,Removes /x poison from self,自分の毒効果/xを解除,
,e56,Removes /x regen from self,自分の回復効果/xを解除,
,e57,Removes /x spikes from self,自分のトゲ効果/xを解除,
,e58,Removes /x haste from self,自分の加速効果/xを解除,
,e59,Removes /x slow from self,自分の減速効果/xを解除,
,e60,Removes /x rage from self,自分の凶暴効果/xを解除,
,e61,Removes /x weak from self,自分の弱体化効果/xを解除,
,e62,Removes /x dodge from self,自分の回避効果/xを解除,
,e63,Removes /x poison from enemy,敵の毒効果/xを解除,
,e64,Removes /x regen from enemy,敵の回復効果/xを解除,
,e65,Removes /x spikes from enemy,敵のトゲ効果/xを解除,
,e66,Removes /x haste from enemy,敵の加速効果/xを解除,
,e67,Removes /x slow from enemy,敵の減速効果/xを解除,
,e68,Removes /x rage from enemy,敵の凶暴効果/xを解除,
,e69,Removes /x weak from enemy,敵の弱体化効果/xを解除,
,e70,Removes /x dodge from enemy,敵の回避効果/xを解除,
,e71,Removes /x poison from all enemies,全敵の毒効果/xを解除,
,e72,Removes /x regen from all enemies,全敵の回復効果/xを解除,
,e73,Removes /x spikes from all enemies,全敵のトゲ効果/xを解除,
,e74,Removes /x haste from all enemies,全敵の加速効果/xを解除,
,e75,Removes /x slow from all enemies,全敵の減速効果/xを解除,
,e76,Removes /x rage from all enemies,全敵の凶暴効果/xを解除,
,e77,Removes /x weak from all enemies,全敵の弱体化効果/xを解除,
,e78,Removes /x dodge from all enemies,全敵の回避効果/xを解除,
,e79,Multiplies poison on self by /x%,自分への毒効果が/x%増加,
,e80,Multiplies regen on self by /x%,自分への回復効果が/x%増加,
,e81,Multiplies spikes on self by /x%,自分へのトゲ効果が/x%増加,
,e82,Multiplies haste to self by /x%,自分への加速効果が/x%増加,
,e83,Multiplies slow to self by /x%,自分への減速効果が/x%増加,
,e84,Multiplies rage to self by /x%,自分への凶暴効果が/x%増加,
,e85,Multiplies weak to self by /x%,自分への弱体化効果が/x%増加,
,e86,Multiplies dodge to self by /x%,自分への回避効果が/x%増加,
,e87,Multiplies poison to enemy by /x%,敵への毒効果が/x%増加,
,e88,Multiplies regen to enemy by /x%,敵への回復効果が/x%増加,
,e89,Multiplies spikes to enemy by /x%,敵へのトゲ効果が/x%増加,
,e90,Multiplies haste to enemy by /x%,敵への加速効果が/x%増加,
,e91,Multiplies slow to enemy by /x%,敵への減速効果が/x%増加,
,e92,Multiplies rage to enemy by /x%,敵への凶暴効果が/x%増加,
,e93,Multiplies weak to enemy by /x%,敵への弱体化効果が/x%増加,
,e94,Multiplies dodge to enemy by /x%,敵への回避効果が/x%増加,
,e95,Multiplies poison to all enemeies by /x%,全敵への毒効果が/x%増加,
,e96,Multiplies regen to all enemies by /x%,全敵への回復効果が/x%増加,
,e97,Multiplies spikes to all enemies by /x%,全敵へのトゲ効果が/x%増加,
,e98,Multiplies haste to all enemies by /x%,全敵への加速効果が/x%増加,
,e99,Multiplies slow to all enemies by /x%,全敵への減速効果が/x%増加,
,e100,Multiplies rage to all enemies by /x%,全敵への凶暴効果が/x%増加,
,e101,Multiplies weak to all enemies by /x%,全敵への弱体化効果が/x%増加,
,e102,Multiplies dodge to all enemies by /x%,全敵への回避効果が/x%増加,
,e103,Removes /x% poison from self,自分の毒効果/x%を解除,
,e104,Removes /x% regen from self,自分の回復効果/x%を解除,
,e105,Removes /x% spikes from self,自分のトゲ効果/x%を解除,
,e106,Removes /x% haste from self,自分の加速効果/x%を解除,
,e107,Removes /x% slow from self,自分の減速効果/x%を解除,
,e108,Removes /x% rage from self,自分の凶暴効果/x%を解除,
,e109,Removes /x% weak from self,自分の弱体化効果/x%を解除,
,e110,Removes /x% dodge from self,自分の回避効果/x%を解除,
,e111,Removes /x% poison from enemy,敵の毒効果/x%を解除,
,e112,Removes /x% regen from enemy,敵の回復効果/x%を解除,
,e113,Removes /x% spikes from enemy,敵のトゲ効果/x%を解除,
,e114,Removes /x% haste from enemy,敵の加速効果/x%を解除,
,e115,Removes /x% slow from enemy,敵の減速効果/x%を解除,
,e116,Removes /x% rage from enemy,敵の凶暴効果/x%を解除,
,e117,Removes /x% weak from enemy,敵の弱体化効果/x%を解除,
,e118,Removes /x% dodge from enemy,敵の回避効果/x%を解除,
,e119,Removes /x% poison from all enemies,全敵の毒効果/x%を解除,
,e120,Removes /x% regen from all enemies,全敵の回復効果/x%を解除,
,e121,Removes /x% spikes from all enemies,全敵のトゲ効果/x%を解除,
,e122,Removes /x% haste from all enemies,全敵の加速効果/x%を解除,
,e123,Removes /x% slow from all enemies,全敵の減速効果/x%を解除,
,e124,Removes /x% rage from all enemies,全敵の凶暴効果/x%を解除,
,e125,Removes /x% weak from all enemies,全敵の弱体化効果/x%を解除,
,e126,Removes /x% dodge from all enemies,全敵の回避効果/x%を解除,
,e127,Adds /x damage to Scratch,「引っかく」に/xダメージを追加,
,e128,Draw /x carvings,彫刻を/x引き出す,
,e129,Adds /x tough hide to enemy,敵に/xのハードスキンを適用, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,,,,
create effects,ceg,Creates /x gold,/xゴールドを生成,
,cec,Creates a curse,呪文を生成,
,ce1,Creates an Ethereal Arrow in this column,この縦列にエーテルの矢を生成,
,ce2,Creates an Ethereal Shiv in this row,この横列にエーテルのナイフを生成,
,ce3,Creates Ethereal Energy in this column,この縦列にエーテルのエネルギーを生成,
,ce4,Creates a fish in an adjacent space,隣り合うマスに魚を生成,
,ce5,Creates any item,アイテムを生成,
,ce6,Creates /x gold,/xゴールドを生成,
,ce7,Creates a drink in this row,この横列に飲み物を生成,
,ce8,Creates a potion in this row,この横列にポーションを生成,
,ce9,Creates an herb in this row,この横列に薬草を生成,
,ce10,Creates a gem,ジェムを生成,
,ce11,Another Slime Sword will be created at the end of combat,バトル終了時にスライムの剣を作成,
,ce12,Creates something really good… or a horrible curse,生成するのはすごく便利なものか…はたまたおぞましい呪文か,
,ce13,Replaced by an Ethereal Blade,エーテルの刃に置換,
,ce14,Replaced by Blade Summoner,剣士の召喚に置換,
,ce15,Replaced with an Empty Cup,空のコップに置換,
,ce16,Replaced by Illusory Blade,幻の刃に置換,
,ce17,Replaced by Illusory Duct Tape,幻のダクトテープに置換,
,ce18,Creates a brick in this row,この横列にレンガを生成,
,ce19,Creates a Rocket in this column,この縦列にロケットを生成,
Movement effects,me1,turns clockwise,時計回りに回転,
,me2,turns around,方向転換,
,me3,turns counter-clockwise,反時計回りに回転,
,me4,moves forward until stopped,停止するまで前進,
,me5,moves forward one space,1マス前に進む,
,me6,moves up one space,1マス上に進む,
Add Modifiers,,,,
,amApplied,From /x,/xから,
,am1,All weapons get this effect applied,全ての武器にこの効果が適用,
,am2,All shields get this effect applied,全ての盾にこの効果が適用,
,am3,All wands get this effect applied,全ての杖にこの効果が適用,
,am4,All bows get this effect applied,全ての弓にこの効果が適用,
,am5,All arrows get this effect applied,全ての矢にこの効果が適用,
,am6,The item between the wings gets this effect applied,羽の間にあるアイテムにこの効果が適用,
,am7,Weapons in this column get this effect applied this combat,この横列にある武器はこのバトル中この効果が適用される,
,am8,Adjacent weapons get this effect applied,隣り合う武器にこの効果が適用,
,am9,All armor gets this effect applied,全ての鎧にこの効果が適用, WARNING: AUTO-TRANSLATION #####################################################
,am10,All manastones get this effect applied,全てのマナストーンにこの効果が適用, WARNING: AUTO-TRANSLATION #####################################################
item status effects,is1,This item is disabled,アイテムが無効化,
,is2,This item is a projectile,投射型のアイテム,
,is2b,Projectile,投射体, WARNING: AUTO-TRANSLATION #####################################################
,is2bd,Projectile attacks do not cause damage from spikes,投射体の攻撃ではトゲダメージが発生しない, WARNING: AUTO-TRANSLATION #####################################################
,is3,This item is anchored,固定されたアイテム,
,is3b,Anchored,固定, WARNING: AUTO-TRANSLATION #####################################################
,is3bd,Anchored items cannot be moved,固定されたアイテムは移動できない, WARNING: AUTO-TRANSLATION #####################################################
,is4,This item is enflamed,アイテムは燃えている,
,is5,Conductive,伝導性,
,is5d,Magic items get mana from manastones that are adjacent or connected through conductive items,魔法のアイテムは隣にあるマナストーンか伝導性のアイテムと接続されたマナストーンからマナを獲得する, WARNING: AUTO-TRANSLATION #####################################################
,is6,This item is heavy,重いアイテム,
,is6b,heavy,重量型, WARNING: AUTO-TRANSLATION #####################################################
,is6bd,Heavy items move to the bottom of your Backpack,重量型のアイテムはバックバックの下方向へ移動する, WARNING: AUTO-TRANSLATION #####################################################
,is7,This item floats,浮かぶアイテム,
,is7b,floats,浮遊型, WARNING: AUTO-TRANSLATION #####################################################
,is7bd,Floating items move to the top of your Backpack,浮遊型アイテムはバックパックの上方向へ移動する, WARNING: AUTO-TRANSLATION #####################################################
,is8,Can be played over other items,他のアイテムに重ねて使用できる,
,is9,All effects applied to this are passed to adjacent items,これに適用される全ての効果が隣り合うアイテムに移る,
,is10,This item can be used directly,このアイテムは直接使用できる,
,is11,Piercing,貫通, WARNING: AUTO-TRANSLATION #####################################################
,is11d,Piercing attacks go through armor,貫通攻撃は鎧を突き抜ける, WARNING: AUTO-TRANSLATION #####################################################
,efm,Multiplier Total,倍率合計,
effect,base,Base,基本,
,twice,twice,二回, WARNING: AUTO-TRANSLATION #####################################################
,m1,This item gets permanent /x damage,このアイテムは常に/xダメージを受ける,
modifiers,m2,This item is destroyed,アイテムが壊れた,
,m3,Adjacent curses are destroyed,隣り合う呪文が破壊された,
,m4,This item gets /x damage to enemy,このアイテムが敵に与えるダメージ/x追加,
,m5,This item gets /x damage to self,このアイテムが自分に与えるダメージ/x追加,
,m6,This item gets /x damage,このアイテムが与えるダメージ/x追加,
,m7,This item gets /x% bonus damage,このアイテムに/x%のボーナスダメージ,
,m8,This item gets /x block,このアイテムに防御効果/x追加,
,m9,This item gets /x block this combat,このバトル中このアイテムに防御効果/x追加,
,m10,This item gets /x energy,このアイテムに/xエネルギー追加,
,m11,Adjacent armor gets /x block,隣り合う鎧に/xの防御を追加,
,m12,Adjacent weapons get /x damage,隣り合う武器に/xの防御を追加,
,m13,Weapons in this row get /x damage,この横列にある武器が/xダメージ受ける,
,m14,Cleavers below get /x% bonus damage,下側の肉切り包丁に/x%のボーナスダメージ,
,m15,Fires the first arrow in each [row to the right],1つ目の矢[横列右側]を放つ,
,m16,Fires the first arrow in each [column below],1つ目の矢[縦列下側]を放つ,
,m17,Fires the first arrow in each [row to the left],1つ目の矢[横列左側]を放つ,
,m18,Fires the first arrow in each [column above],1つ目の矢[縦列上側]を放つ,
,m19,Fires all arrows in each [row to the right],全ての矢[横列右側]を放つ,
,m20,Fires all arrows in each [column below],全ての矢[縦列下側]を放つ,
,m21,Fires all arrows in each [row to the left],全ての矢[横列左側]を放つ,
,m22,Fires all arrows in each [column above],全ての矢[縦列上側]を放つ,
,m23,Adjacent and diagonal structures become conductive,隣と斜めにある建材が導電性になる,
,m24,This item is refreshed and can be used again this combat,このアイテムは更新されバトル中もう一度使用できる,
,m25,Items in this row are refreshed and can be used again this turn,この横列にあるアイテムは更新されターン中もう一度使用できる,
,m26,selected adjacent Weapons get /x% bonus damage this combat,選択した隣り合う武器にこのバトル中/x%のボーナスダメージを追加,
,m27,All weapons get /x% bonus damage,全ての武器に/x%のボーナスダメージ,
,m28,The first arrow in each [row to the right] gets /x% bonus damage,1つ目の矢[横列右側]に/x%のボーナスダメージ,
,m29,The first arrow in each [column below] gets /x% bonus damage,1つ目の矢[縦列下側]に/x%のボーナスダメージ,
,m30,The first arrow in each [row to the left] gets /x% bonus damage,1つ目の矢[横列左側]に/x%のボーナスダメージ,
,m31,The first arrow in each [column above] gets /x% bonus damage,1つ目の矢[縦列上側]に/x%のボーナスダメージ,
,m32,This item is disabled,このアイテムは無効,
,m33,All consumables get /x% bonus healing,全ての消耗品に/x%のボーナス治癒効果,
,m34,All weapons get /x damage,全ての武器に/xのダメージを追加,
,m35,All adjacent weapons are used,全ての隣り合う武器を使用,
,m36,All adjacent cleavers are used,全ての隣り合う肉切り包丁を使用,
,m37,The [above] cleaver is used,[上]の肉切り包丁を使用,
,m38,The [right] cleaver is used,[右]の肉切り包丁を使用,
,m39,The cleaver [below] is used,[下]の肉切り包丁を使用,
,m40,The [left] cleaver is used,[左]の肉切り包丁を使用,
,m41,All connected weapons get /x% bonus damage,接続された全ての武器に/x%のボーナスダメージ,
,m42,All consumables get /x rage,全ての消耗品に/xの凶暴効果を追加,
,m43,Adjacent weapons get /x damage this combat,このバトル中隣り合う武器に/xダメージを追加,
,m44,Adjacent weapons get /x damage this turn,このターン中隣り合う武器に/xダメージを追加,
,m45,Adjacent and diagonal weapons get /x damage,隣と斜めにある武器に/xダメージ追加,
,m46,This gets /x damage this turn,このターン中/xダメージを追加,
,m47,This gets /x damage this combat,このバトル中/xダメージを追加,
,m48,This item is disabled for /y turns,/yターンの間このアイテムは無効,
,m49,This item is anchored for /y combats,/yバトルの間このアイテムは固定,
,m50,Adjacent and diagonal armor gets /x block,隣と斜めにある鎧に/xの防御を追加,
,m50b,Adjacent and diagonal shields and armor get /x block,隣と斜めにある盾と鎧に/xの防御を追加,
,m51,This item is disabled for the rest of this combat,このバトル中このアイテムは無効,
,m52,This item is disabled for /y combats,バトル/y回分このアイテムは無効,
,m53,Adjacent helmets get /x block,隣り合うかぶとに/x防御を追加,
,m54,Adjacent footwear gets /x block,隣り合う靴に/xの防御を追加,
,m55,This item is used,このアイテムは使用済,
,m56,Arrows to the [right] get /x% bonus damage,矢[右側]に/x%のボーナスダメージ,
,m57,Arrows to the [left] get /x% bonus damage,矢[左側]に/x%のボーナスダメージ,
,m58,Arrows [below] get /x% bonus damage,矢[下側]に/x%のボーナスダメージ,
,m59,Arrows [above] get /x% bonus damage,矢[上側]に/x%のボーナスダメージ,
,m60,Connected weapons get /x damage,接続された武器に/xダメージ追加,
,m61,Adjacent and diagonal shields get /x block,隣と斜めにある盾に/xの防御を追加,
,m62,The first arrow in each [row to the right] gets /x damage,1つ目の矢[横列右側]に/xダメージ追加,
,m63,The first arrow in each [row to the left] gets /x damage,1つ目の矢[横列左側]に/xダメージ追加,
,m64,The first arrow in each [column below] gets /x damage,1つ目の矢[縦列下側]に/xダメージ追加,
,m65,The first arrow in each [column above] gets /x damage,1つ目の矢[縦列上側]に/xダメージ追加,
,m66,Armor to the left gets /x block,左側にある鎧に/xの防御を追加,
,m67,Weapons in this column get /x damage,この縦列にある武器に/xの追加ダメージ,
,m68,Adjacent and diagonal weapons get /x poison to self,隣と斜めにある武器に自分への毒ダメージを/x追加,
,m69,Weapons in this row or column get /x damage,この横列または楯列にある武器に/xの追加ダメ―ジ,
,m69c,Weapons in this row or column get /x damage this combat,この横列または楯列にある武器にこのバトル中/xの追加ダメ―ジ,
,m70,Adjacent and diagonal weapons get /x damage this combat,隣り合うか斜めに位置留守武器にこのバトル中/xの追加ダメージ,
,m71,This gets /x spikes to self this turn,このターン中、自分へのトゲダメージを/x追加,
,m72,All shields get /x spikes to self,全ての盾に自分へのトゲダメージを/x追加,
,m73,All diagonal cleavers are used,斜めにある全ての肉切り包丁を使用,
,m74,Adjacent and diagonal cleavers get /x damage,隣と斜めにある肉切り包丁に/xの追加ダメージ,
,m75,The cleaver [above] gets used,肉切り包丁[上]を使用,
,m76,The cleaver [to the right] gets used,肉切り包丁[右側]を使用,
,m77,The cleaver [below] gets used,肉切り包丁[下]を使用,
,m78,The cleaver [to the left] gets used,肉切り包丁[左側]を使用,
,m79,Adjacent shields get used,隣り合う盾を使用,
,m80,Adjacent weapons get /x healing,隣り合う武器がに/xの追加治癒効果,
,m81,Weapons in this column get /x% bonus damage,この縦列にある武器に/x%のボーナスダメージを追加,
,m82,Weapons in this row get /x weak this combat,この横列にある武器にこのバトル中/xの弱体化,
,m83,Select an adjacent weapon to permanently get /x% bonus damage,隣り合う武器を選択して、継続的に/x%のボーナスダメージを追加,
,m84,Adjacent and diagonal weapons get /x damage,隣と斜めにある武器に/xの追加ダメージ,
,m85c,Adjacent weapons get /x% bonus damage this combat,隣り合う武器にこのバトル中/x%のボーナスダメージを追加,
,m85,Adjacent weapons get /x% bonus damage,隣り合う武器に/x%のボーナスダメージを追加,
,m86,Adjacent weapon [below] gets /x damage,隣り合う武器[下]に/xの追加ダメージ,
,m87,Adjacent weapon [to the left] gets /x damage,隣り合う武器[左側]に/xの追加ダメージ,
,m88,Adjacent weapon [above] gets /x damage,隣り合う武器[上]に/xの追加ダメージ,
,m89,Adjacent weapon [to the right] gets /x damage,隣り合う武器[右側]に/xの追加ダメージ,
,m90,Weapons in this row get /x poison this combat,この横列にある武器にこのバトル中/xの毒効果,
,m91,Adjacent and diagonal consumables are destroyed,隣と斜めにある消耗品を破壊,
,m92,Adjacent weapons get /x poison,隣り合う武器に/xの追加毒効果,
,m93,Weapons two spaces away get /x damage,2マス離れた武器に/xの追加ダメージ,
,m94,All weapons remove /x from all status effects from all enemies,全ての武器が全ての敵の全ての状態効果を/x解除,
,m95,scratch deals /x Damage,「引っかく」で/xダメージを付与,
,m96,Helmets to the right are disabled,右側のかぶとが無効,
,m97,Shields get /x spikes to self,盾に自分へのトゲ効果/x,
,m98,Footwears to the right are disabled,右側の靴が無効,
,m99,structures beneath this get /x block,下にある建材に/xの防御を追加,
,m100,This gets /x to poison,毒効果/xを追加,
,m101,Adjacent shields get /x spikes to self,隣り合う盾が自分への/xトゲ効果,
,m102,Adjacent and diagonal consumables get /x healing,隣と斜めにある消耗品に治癒効果/x,
,m103,Weapons in this column get /x% bonus damage this turn,この縦列にある武器にこのターン中/x%のボーナスダメージ,
,m103b,Weapons in this column get /x% bonus damage this combat,この縦列にある武器にこのバトル中/x%のボーナスダメージ, WARNING: AUTO-TRANSLATION #####################################################
,m104,Wands in this column get /x damage,この縦列にある杖に/xダメージ,
,m105,Permanently increase cost by /y mana,マナの消費を継続的に/y増加,
,m106,/x to the energy cost for this combat,このバトル中の消費エネルギーを/x増加, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,m107,Decreases the cost of all held carvings to 0 energy,所持している全ての彫刻の消費エネルギーを0に削減,
,m108,Remove all held carvings and draw 3,所持している彫刻全て破棄され、新たに3つ引く,
,m109,Banishes a carving from hand,所持している彫刻が消える,
,m110,Weapons behind get /x% bonus damage,後ろにある武器に/x%のボーナスダメージ,
,m111,Weapons behind this are used,この後ろにある武器が使用される, WARNING: ENGLISH TEXT CHANGED #####################################################
,m112,Weapons behind this are destroyed,この後ろにある武器が破壊される, WARNING: ENGLISH TEXT CHANGED #####################################################
,m113,This carving is banished,この彫刻は消失,
,m114,Shields two spaces away get /x block this combat,このバトル中2マス離れた盾に/xの防御,
,m115,The item this is played on is destroyed,このアイテムが使用されているアイテムが破壊,
,m116,Adds /x energy for each space the destroyed item occupied,破壊されたアイテムが占めていたマスごとに/xエネルギー追加,
,m117,Adjacent shields get /x block this combat,このバトル中隣り合う盾に/xの防御,
,m118,This item gets /x to mana,このアイテムはマナに/x追加,
,m119,Adjacent consumables are destroyed,隣り合う消耗品が破壊,
,m120,Bows behind are used,後ろにある弓を使用,
,m121,Armor in this row gets /x spikes this combat,このバトル中この横列にある鎧に/xのトゲ効果,
,m122,Items behind are used,後ろにあるアイテムを使用,
,m123,Adds /x damage for each carving played this combat,このバトル中使用した彫刻につき/xダメージを追加,
,m124,Adds /x block for each carving played this combat,このバトル中使用した彫刻につき/x防御を追加,
,m125,Arrows behind get /x% bonus damage this turn,後ろにある矢にこのターン中/x%のボーナスダメージ,
,m126,Adjacent fish are destroyed,隣り合う魚を破壊,
,m127,For each manastone above this,この上にあるマナストーンごと,
,m128,Adds /x gold for each space the destroyed item occupied,破壊されたアイテムが占めていたマスごとに/xゴールド追加,
,m129,This item gets /x to all status effects,このアイテムが全ての状態効果に/x追加,
,m130,All connected weapons get /x% bonus damage this turn,接続された全ての武器にこのターン中/x%のボーナスダメージ,
,m131,The weapon behind gets /x damage this turn,この後ろにある武器にこのターン中/x%のボーナスダメージ,
,m132,The item [to the left] is destroyed,[左側]アイテムが破壊,
,m133,The item [above] is destroyed,[上]アイテムが破壊,
,m134,The item [to the right] is destroyed,[右側]アイテムが破壊,
,m135,The item [below] is destroyed,[下]アイテムが破壊,
,m132b,The adjacent item [to the left] is destroyed,[左側]アイテムが破壊,
,m133b,The adjacent item [above] is destroyed,[上]アイテムが破壊,
